"species","TotalReads"
"Bacillus rugosus",39
"Bacillus cabrialesii",28
"Bacillus fonticola",2
"Bacillus pumilus",3
"Bacillus safensis",3
"Bacillus haynesii",3
"Bacillus swezeyi",1
"Bacillus badius",1
"Bacillus glycinifermentans",1
"Bacillus aerius",2
"Heyndrickxia coagulans",2
"Priestia megaterium",2
"Cytobacillus firmus",1
"Metabacillus litoralis",1
"Alkalihalophilus pseudofirmus",1
"Rossellomorea sp. KS-H15a",1
"Ornithinibacillus sp. FSL M8-0202",1
"Halobacillus litoralis",1
"Neobacillus sp. DY30",1
"Aciduricibacillus chroicocephali",1
"Terrilactibacillus sp. S3-3",1
"Salisediminibacterium selenitireducens",1
"Pontibacillus sp. HMF3514",1
"Staphylococcus aureus",38666
"Staphylococcus argenteus",30
"Staphylococcus saprophyticus",28
"Staphylococcus schweitzeri",22
"Staphylococcus pseudintermedius",16
"Staphylococcus delphini",2
"Staphylococcus epidermidis",20
"Staphylococcus simiae",12
"Staphylococcus sp. IVB6181",2
"Staphylococcus sp. SB1-57",4
"Staphylococcus sp. S9",4
"Staphylococcus capitis",7
"Staphylococcus pasteuri",6
"Staphylococcus lugdunensis",6
"Staphylococcus haemolyticus",5
"Staphylococcus caprae",4
"Staphylococcus chromogenes",4
"Staphylococcus saccharolyticus",3
"Staphylococcus hominis",3
"Staphylococcus cohnii",2
"Staphylococcus auricularis",2
"Staphylococcus felis",2
"Staphylococcus succinus",2
"Staphylococcus warneri",2
"Staphylococcus arlettae",2
"Staphylococcus agnetis",2
"Staphylococcus taiwanensis",2
"Staphylococcus devriesei",2
"Staphylococcus massiliensis",2
"Staphylococcus hsinchuensis",2
"Staphylococcus casei",2
"Staphylococcus pettenkoferi",2
"Staphylococcus equorum",5
"Staphylococcus hyicus",1
"Staphylococcus lutrae",1
"Staphylococcus edaphicus",1
"Staphylococcus kloosii",1
"Staphylococcus simulans",1
"Staphylococcus xylosus",1
"Staphylococcus muscae",1
"Mammaliicoccus lentus",1
"Mammaliicoccus sciuri",1
"Macrococcus armenti",1
"Macrococcoides canis",1
"Listeria monocytogenes",37966
"Listeria innocua",212
"Listeria swaminathanii",81
"Listeria welshimeri",64
"Listeria ivanovii",50
"Listeria seeligeri",36
"Listeria weihenstephanensis",6
"Listeria sp. PSOL-1",3
"Listeria newyorkensis",3
"Listeria grayi",2
"Brochothrix campestris",2
"Paenibacillus sp. FSL W8-0194",5
"Paenibacillus sp. FSL H8-0332",1
"Paenibacillus sp. FSL H8-0537",1
"Paenibacillus sp. PK4536",1
"Paenibacillus sp. 481",1
"Paenibacillus sp. JNUCC-31",1
"Paenibacillus sp. H1-7",1
"Paenibacillus sp. FSL R10-2734",1
"Paenibacillus peoriae",1
"Paenibacillus physcomitrellae",1
"Paenibacillus hexagrammi",1
"Paenibacillus amylolyticus",1
"Aneurinibacillus uraniidurans",1
"Brevibacillus ruminantium",1
"Sporosarcina sp. FSL K6-1540",1
"Sporosarcina sp. Marseille-Q4063",1
"Sporosarcina ureae",2
"Savagea faecisuis",1
"Solibacillus silvestris",1
"Enterococcus faecalis",37437
"Enterococcus sp. 9D6_DIV0238",6
"Enterococcus sp. DA9",53
"Enterococcus sp. DIV0212c",2
"Enterococcus sp. 7F3_DIV0205",2
"Enterococcus sp. 9E7_DIV0242",1
"Enterococcus sp. DIV2402",1
"Enterococcus durans",9
"Enterococcus faecium",13
"Enterococcus raffinosus",3
"Enterococcus silesiacus",3
"Enterococcus devriesei",2
"Enterococcus rotai",2
"Enterococcus hirae",2
"Enterococcus mundtii",2
"Enterococcus saigonensis",2
"Enterococcus dispar",2
"Enterococcus thailandicus",2
"Enterococcus saccharolyticus",2
"Vagococcus coleopterorum",3
"Tetragenococcus halophilus",1
"Limosilactobacillus fermentum",29311
"Limosilactobacillus mucosae",3
"Limosilactobacillus panis",2
"Limosilactobacillus reuteri",2
"Limosilactobacillus oris",1
"Lentilactobacillus diolivorans",12
"Lentilactobacillus hilgardii",1
"Lactobacillus delbrueckii",10
"Lactobacillus iners",1
"Lactobacillaceae bacterium",9
"Lactiplantibacillus plantarum",6
"Lactiplantibacillus paraplantarum",1
"Pediococcus acidilactici",1
"Pediococcus parvulus",1
"Pediococcus damnosus",1
"Levilactobacillus brevis",2
"Levilactobacillus zymae",1
"Ligilactobacillus ruminis",1
"Ligilactobacillus animalis",1
"Lacticaseibacillus paracasei",1
"Weissella paramesenteroides",1
"Fructilactobacillus sanfranciscensis",1
"Liquorilactobacillus mali",1
"Apilactobacillus kunkeei",1
"Companilactobacillus heilongjiangensis",1
"Acetilactobacillus jinshanensis",1
"Streptococcus equi",1
"Streptococcus thermophilus",1
"Streptococcus salivarius",1
"Streptococcus agalactiae",2
"Streptococcus pyogenes",1
"Streptococcus uberis",1
"Streptococcus iniae",1
"Streptococcaceae bacterium ESL0687",1
"uncultured Carnobacterium sp.",7
"Carnobacterium viridans",1
"Clostridioides difficile",11
"Mediterraneibacter gnavus",1
"Lacrimispora xylanisolvens",1
"Vallitalea pronyensis",1
"Massilistercora timonensis",1
"Caproiciproducens sp. CPB-2",1
"Megamonas hypermegale",1
"Firmicutes bacterium ASF500",1
"Streptomyces sp. NBC_00390",1
"Streptomyces sp. AMCC400023",2
"Streptomyces sp. NBC_00631",1
"Streptomyces sp. NBC_00557",1
"Streptomyces sp. NBC_00536",1
"Streptomyces sp. R41",1
"Streptomyces sp. NBC_00448",1
"Streptomyces sp. R11",1
"Streptomyces sp. NA04227",1
"Streptomyces sp. NBC_01717",1
"Streptomyces sp. SCSIO ZS0520",1
"Streptomyces sp. NBC_01288",1
"Streptomyces erythrochromogenes",2
"Streptomyces noursei",1
"Streptomyces xinghaiensis",1
"Kitasatospora sp. NBC_01300",2
"Verrucosispora sp. WMMD573",1
"Micromonospora sp. CCTCC AA 2012012",1
"Micromonospora terminaliae",1
"Micromonospora peucetia",1
"Micromonospora zamorensis",1
"Actinoplanes sp. OR16",1
"Actinoplanes digitatis",1
"Polymorphospora rubra",1
"Mycolicibacterium monacense",1
"Mycolicibacterium anyangense",1
"Mycolicibacterium moriokaense",1
"Mycobacterium sp. ITM-2016-00317",1
"Corynebacterium camporealensis",1
"Corynebacterium gerontici",1
"Nocardia sp. NBC_00881",1
"Bifidobacterium longum",5
"Nocardioides ungokensis",1
"Pimelobacter simplex",1
"Microlunatus elymi",1
"Cutibacterium equinum",1
"Brevibacterium sp. 'Marine'",1
"Brevibacterium sandarakinum",1
"Arthrobacter agilis",1
"Leucobacter luti",1
"Amycolatopsis sp. AA4",1
"Saccharopolyspora sp. ID03-671",1
"uncultured Actinomycetes bacterium",1
"uncultured Solirubrobacterales bacterium",1
"Miltoncostaea marina",1
"uncultured Gaiellaceae bacterium",1
"Cyanoleptonema yuqiaoensis",1
"Gloeomargarita lithophora",1
"cyanobacterium endosymbiont of Rhopalodia gibberula",1
"Alteracholeplasma parvum",1
"Mycoplasmatota bacterium",1
"Mycoplasmopsis bovis",1
"uncultured Armatimonadetes bacterium",1
"uncultured Chloroflexia bacterium",1
"Salmonella enterica",42793
"Salmonella sp. WGH-01",35
"Salmonella sp. CVCC 1806",35
"Salmonella sp.",12
"Salmonella bongori",155
"uncultured Salmonella sp.",4
"Escherichia coli",23126
"Escherichia albertii",49
"Escherichia fergusonii",33
"Escherichia marmotae",18
"Escherichia sp. E4742",10
"uncultured Escherichia sp.",10
"Shigella boydii",351
"Shigella flexneri",542
"Shigella dysenteriae",99
"Shigella sonnei",46
"Klebsiella pneumoniae",86
"Klebsiella quasipneumoniae",35
"Klebsiella michiganensis",4
"Klebsiella aerogenes",2
"Klebsiella electrica",2
"Klebsiella oxytoca",2
"Klebsiella africana",1
"Klebsiella huaxiensis",1
"Klebsiella grimontii",2
"Raoultella ornithinolytica",7
"Raoultella sp. HC6",1
"Citrobacter braakii",20
"Citrobacter freundii",14
"Citrobacter portucalensis",5
"Citrobacter werkmanii",3
"Citrobacter freundii complex sp. CFNIH2",1
"Citrobacter cronae",6
"Citrobacter gillenii",5
"Citrobacter sedlakii",1
"Citrobacter sp. RHB25-C09",4
"Citrobacter sp. R56",3
"Citrobacter sp. CFNIH10",7
"Citrobacter rodentium",5
"Citrobacter enshiensis",2
"Citrobacter farmeri",2
"Citrobacter telavivensis",1
"Citrobacter arsenatis",1
"Citrobacter amalonaticus",1
"Citrobacter koseri",1
"Enterobacter cloacae",9
"Enterobacter hormaechei",14
"Enterobacter asburiae",8
"Enterobacter cancerogenus",4
"Enterobacter roggenkampii",2
"Enterobacter ludwigii",8
"Enterobacter kobei",4
"Enterobacter cloacae complex sp.",1
"Enterobacter pasteurii",1
"Enterobacter sichuanensis",1
"Enterobacter sp. JUb54",2
"Enterobacter sp. RHBSTW-00994",1
"Enterobacter sp. PGRG2",1
"Enterobacter sp. 638",1
"Enterobacter huaxiensis",3
"Enterobacter vonholyi",2
"Enterobacter mori",1
"Leclercia pneumoniae",2
"Leclercia adecarboxylata",8
"Kosakonia sp. H02",3
"Kosakonia sp. ML.JS2a",2
"Kosakonia sp. MUSA4",1
"Kosakonia oryzendophytica",1
"Kosakonia cowanii",1
"Cronobacter sp. JZ38",2
"Cronobacter malonaticus",3
"Cronobacter condimenti",1
"Kluyvera ascorbata",4
"Kluyvera intermedia",1
"Buttiauxella sp. WJP83",3
"Buttiauxella selenatireducens",2
"Trabulsiella odontotermitis",4
"Lelliottia amnigena",2
"Lelliottia sp. WB101",1
"Candidatus Hamiltonella endosymbiont of Tuberolachnus salignus",1
"Blochmannia endosymbiont of Camponotus sp. C-003",1
"Symbiopectobacterium purcellii",1
"Pseudocitrobacter faecalis",2
"Cedecea neteri",2
"Atlantibacter subterranea",1
"Mangrovibacter phragmitis",1
"Yokenella regensburgei",1
"[Enterobacter] lignolyticus",1
"Superficieibacter sp. HKU1",1
"Siccibacter colletis",1
"Franconibacter daqui",1
"Scandinavium goeteborgense",1
"Shimwellia blattae",1
"Jejubacter calystegiae",1
"Pantoea agglomerans",4
"Pantoea sp. At-9b",1
"Pantoea dispersa",1
"Pantoea stewartii",3
"Pantoea deleyi",1
"Pantoea piersonii",1
"Pantoea phytobeneficialis",1
"Pantoea rwandensis",1
"Pantoea alhagi",1
"Candidatus Pantoea soli",1
"Mixta hanseatica",2
"Erwinia sp. E602",1
"Erwinia sp. HDF1-3R",1
"Paramixta manurensis",1
"Serratia sp. UGAL515B_01",3
"Serratia sp. JSRIV001",2
"Serratia aquatilis",1
"Serratia proteamaculans",1
"Serratia liquefaciens",1
"Serratia marcescens",2
"Yersinia massiliensis",1
"Yersinia intermedia",1
"Chania multitudinisentens",1
"Rouxiella badensis",1
"Arsenophonus endosymbiont of Aleyrodes proletella",1
"Arsenophonus endosymbiont of Aphis craccivora",1
"Arsenophonus nasoniae",1
"Morganella morganii",3
"Proteus mirabilis",1
"Providencia rustigianii",1
"Edwardsiella piscicida",2
"Edwardsiella tarda",2
"Hafnia alvei",1
"Pectobacterium cacticida",2
"Pectobacterium aroidearum",1
"Lonsdalea populi",1
"Brenneria rubrifaciens",1
"Leminorella grimontii",1
"Pseudomonas aeruginosa",30072
"Pseudomonas citronellolis",7
"Pseudomonas multiresinivorans",1
"Pseudomonas sp. MM211",3
"Pseudomonas sp. SCB32",2
"Pseudomonas sp. 31-12",2
"Pseudomonas sp. PSE14",4
"Pseudomonas sp. QE6",2
"Pseudomonas sp. GOM7",7
"Pseudomonas sp. S35",2
"Pseudomonas sp. LS44",2
"Pseudomonas sp. Z8(2022)",3
"Pseudomonas sp. PDNC002",2
"Pseudomonas sp. B11D7D",1
"Pseudomonas sp. TCU-HL1",1
"Pseudomonas sp. R5-89-07",1
"Pseudomonas sp. QL9",1
"Pseudomonas sp. ADAK18",1
"Pseudomonas sp. IsoF",9
"Pseudomonas sp. ADPe",2
"Pseudomonas sp. PSKL.D1",1
"Pseudomonas sp. JBR1",1
"Pseudomonas sp. C27(2019)",1
"Pseudomonas sp. SL4(2022)",1
"Pseudomonas sp. Y5-11",3
"Pseudomonas sp. ABC1",1
"Pseudomonas sp. GCEP-101",1
"Pseudomonas sp. AN-1",1
"Pseudomonas sp. NA13",2
"Pseudomonas sp. DR 5-09",2
"Pseudomonas sp. REST10",2
"Pseudomonas sp. FP2338",1
"Pseudomonas sp. J452",1
"Pseudomonas sp. KNUC1026",1
"Pseudomonas sp. KU43P",1
"Pseudomonas sp. FP198",1
"Pseudomonas putida",14
"Pseudomonas fulva",4
"Pseudomonas plecoglossicida",1
"Pseudomonas orientalis",2
"Pseudomonas proteolytica",2
"Pseudomonas fluorescens",2
"Pseudomonas koreensis",1
"Pseudomonas rhodesiae",1
"Pseudomonas trivialis",1
"Pseudomonas poae",1
"Pseudomonas libanensis",1
"Pseudomonas synxantha",1
"Pseudomonas chlororaphis",2
"Pseudomonas piscis",1
"Pseudomonas sessilinigenes",2
"Pseudomonas viridiflava",5
"uncultured Pseudomonas sp.",4
"Pseudomonas triclosanedens",4
"Pseudomonas cavernae",2
"Pseudomonas tohonis",2
"Pseudomonas agarici",1
"Pseudomonas purpurea",1
"Pseudomonas grandcourensis",1
"Pseudomonas tructae",1
"Pseudomonas brassicacearum",2
"Pseudomonas psychrophila",1
"Pseudomonas wenzhouensis",1
"Pseudomonas silvicola",1
"Pseudomonas lalucatii",1
"Pseudomonas abieticivorans",1
"Pseudomonas reinekei",1
"Pseudomonas oryzae",1
"Pseudomonas izuensis",1
"Pseudomonas rhizosphaerae",1
"Pseudomonas helleri",1
"Pseudomonas entomophila",1
"Pseudomonas solani",1
"Pseudomonas sediminis",1
"Pseudomonas parafulva",1
"Pseudomonas siliginis",2
"Pseudomonas xanthosomatis",1
"Stutzerimonas stutzeri",3
"Stutzerimonas kunmingensis",1
"Stutzerimonas balearica",1
"Ectopseudomonas mendocina",2
"Ectopseudomonas oleovorans",2
"Aquipseudomonas campi",1
"Aquipseudomonas alcaligenes",1
"Halopseudomonas litoralis",1
"Halopseudomonas phragmitis",1
"Marinobacter nanhaiticus",1
"Pseudoxanthomonas sp. X-1",1
"Pseudoxanthomonas suwonensis",1
"Stenotrophomonas sp. 610A2",2
"Luteimonas sp. R10",1
"Luteimonas granuli",1
"Xanthomonas sp. NCPPB 1325",1
"Xylella fastidiosa",1
"Solilutibacter oculi",1
"Dyella sp. GSA-30",1
"Aeromonas sp. Ne-1",1
"Aeromonas bestiarum",1
"Aeromonas veronii",1
"Aeromonas hydrophila",1
"Aeromonas salmonicida",1
"Zobellella sp. DQSA1",1
"Acinetobacter baumannii",3
"Acinetobacter sp. WCHAc010034",1
"Acinetobacter junii",1
"Acinetobacter schindleri",1
"Vibrio natriegens",1
"Vibrio sp. B1FLJ16",1
"Vibrio ruber",1
"Vibrio anguillarum",1
"Photobacterium sanguinicancri",1
"Grimontia kaedaensis",1
"Idiomarina sp. OXR-189",1
"Idiomarina abyssalis",1
"Moritella yayanosii",1
"Shewanella sediminis",1
"Halioxenophilus aromaticivorans",1
"Thalassotalea nanhaiensis",1
"Haemophilus parainfluenzae",2
"Gallibacterium anatis",1
"Rodentibacter haemolyticus",1
"Teredinibacter sp. KSP-S5-2",1
"Teredinibacter turnerae",1
"Microbulbifer elongatus",1
"Spongiibacter nanhainus",1
"Halomonas alkalicola",1
"Isoalcanivorax pacificus",1
"Marinomonas foliarum",1
"Catillopecten margaritatus gill symbiont",3
"Gammaproteobacteria bacterium",1
"gamma proteobacterium symbiont of Isorropodon perplexum",1
"uncultured Gammaproteobacteria bacterium",2
"Acidihalobacter aeolianus",1
"Granulosicoccus antarcticus",1
"Legionella pneumophila",2
"Methylophaga marina",1
"Methylomonas rapida",1
"Phenylobacterium sp.",28
"Caulobacter sp. NIBR2454",1
"Caulobacter sp. NIBR1757",1
"Caulobacter segnis",1
"Agrobacterium tumefaciens",1
"Agrobacterium larrymoorei",1
"Rhizobium sp. BG4",1
"Mesorhizobium opportunistum",1
"Phyllobacterium sp. T1293",1
"Martelella sp. AD-3",1
"Microvirga ossetica",1
"Labrys sp. KNU-23",1
"Phaeobacter sp. A36a-5a",1
"Phaeobacter piscinae",1
"Pseudosulfitobacter pseudonitzschiae",1
"Marivita sp.",1
"Oceanicola sp. D3",1
"Sulfitobacter sp. SK011",1
"Paracoccus marcusii",1
"Rhodophyticola porphyridii",1
"Sphingobium yanoikuyae",2
"Sphingopyxis sp. GC21",1
"Pelagerythrobacter marensis",1
"Sphingosinicella flava",1
"uncultured Alphaproteobacteria bacterium",3
"Komagataeibacter diospyri",1
"Acetobacter vaccinii",1
"Tistrella mobilis",1
"Azospirillum thermophilum",1
"Burkholderia multivorans",2
"Burkholderia plantarii",1
"Burkholderia gladioli",1
"Ralstonia solanacearum",4
"Paucimonas lemoignei",1
"Comamonas aquatica",1
"Ramlibacter terrae",1
"Diaphorobacter sp. HDW4B",1
"Achromobacter pestifer",2
"Ideonella dechloratans",1
"Rugamonas sp. DEMB1",1
"Thauera aromatica",1
"Dechloromonas denitrificans",1
"Sideroxydans sp. CL21",1
"Candidatus Nitrotoga arctica",1
"Microvirgula aerodenitrificans",1
"uncultured Pseudomonadota bacterium",2
"Flavobacterium sp. ZE23DGlu08",1
"Flavobacterium sp. M31R6",1
"Flavobacterium nakdongensis",1
"Flavobacterium aestivum",1
"Nonlabens ulvanivorans",1
"Polaribacter reichenbachii",1
"Capnocytophaga sputigena",1
"Empedobacter brevis",1
"Schleiferiaceae bacterium",1
"Muribaculum gordoncarteri",1
"Segatella copri",1
"Bacteroidaceae bacterium",1
"Marinilabiliaceae bacterium",1
"Maribellus comscasis",1
"Pontibacter actiniarum",1
"Hymenobacter sediminicola",1
"Fibrella aestuarina",1
"Spirosomataceae bacterium TFI 002",1
"Cytophagales bacterium Alg240-R148",1
"Pelodictyon phaeoclathratiforme",1
"uncultured Gemmatimonadales bacterium",1
"Gemmatimonadales bacterium",1
"Candidatus Zixiibacteriota bacterium",2
"uncultured Planctomycetota bacterium",1
"Limihaloglobus sulfuriphilus",1
"uncultured Verrucomicrobiae bacterium",1
"Ereboglobus luteus",1
"Arcobacter ellisii",1
"Aliarcobacter faecis",1
"Arcobacteraceae bacterium",1
"Helicobacter pylori",1
"uncultured Acidobacteriota bacterium",1
"Vicinamibacterales bacterium",1
"Myxococcus stipitatus",1
"Vulgatibacter incomptus",1
"Spirochaetia bacterium",2
"Desulfurispirillum indicum",1
"uncultured bacterium",64
"uncultured bacterium HF0500_31I04",1
"uncultured candidate division WWE3 bacterium EJ0ADIGA11YD11",1
"Candidatus Saccharibacteria bacterium",1
"Candidatus Nomurabacteria bacterium",1
"Candidatus Dojkabacteria bacterium",1
"bacterium SCSIO 12827",1
"bacterium",1
"uncultured delta proteobacterium",1
"Saccharomyces cerevisiae",7189
"Saccharomyces paradoxus",45
"Saccharomyces kudriavzevii",9
"Saccharomyces mikatae",9
"Saccharomyces pastorianus",8
"Saccharomyces eubayanus",2
"Saccharomyces bayanus",1
"Saccharomyces jurei",2
"Saccharomyces cf. cerevisiae/paradoxus",15
"Lachancea nothofagi",3
"Torulaspora delbrueckii",1
"Maudiozyma barnettii",1
"Eremothecium cymbalariae",1
"Tetrapisispora phaffii",1
"Candida prachuapensis",1
"Lodderomyces beijingensis",1
"Scheffersomyces stipitis",1
"Suhomyces tanzawaensis",1
"Debaryomyces fabryi",1
"Geotrichum galactomycetum",4
"Akanthomyces muscarius",1
"Ilyonectria robusta",1
"Colletotrichum godetiae",1
"Mycothermus thermophilus",1
"Chaetomium fimeti",1
"Thermochaetoides thermophila",1
"Botrytis sinoallii",1
"Botrytis cinerea",1
"Aspergillus alliaceus",2
"Penicillium expansum",1
"Paecilomyces variotii",1
"Trichophyton rubrum",1
"Cladophialophora psammophila",1
"Letharia lupina",1
"Aureobasidium namibiae",1
"uncultured Ascomycota",3
"Saitoella complicata",1
"Cryptococcus neoformans",4672
"Cryptococcus neoformans AD hybrid",3
"Cryptococcus decagattii",6
"Cryptococcus tetragattii",6
"Cryptococcus deuterogattii",4
"Cryptococcus sp. (in: basidiomycete fungi)",4
"Kwoniella dejecticola",1
"Papiliotrema sp.",4
"Tremella caloplacae",1
"Tremella tropica",1
"uncultured Agaricomycetes",2
"Psilocybe cubensis",2
"Punctularia strigosozonata",1
"Malassezia restricta",1
"Puccinia striiformis",1
"uncultured fungus",10
"Mucoromycotina sp.",4
"Angulomyces argentinensis",1
"Anopheles messeae",11
"Ochlerotatus camptorhynchus",1
"Wyeomyia smithii",1
"Uranotaenia lowii",1
"Drosophila willistoni",3
"Scaptodrosophila lebanonensis",1
"Anastrepha ludens",1
"Eurosta solidaginis",1
"Pararge aegeria",2
"Vanessa atalanta",1
"Appias lasti",1
"Achroia grisella",1
"Plodia interpunctella",1
"Manduca sexta",1
"Hyposmocoma kahamanoa",1
"Pectinophora gossypiella",1
"Leguminivora glycinivorella",1
"Solenopsis invicta",2
"Acromyrmex echinatior",1
"Wasmannia auropunctata",1
"Polyergus mexicanus",1
"Cotesia glomerata",1
"Belonocnema kinseyi",1
"Tribolium castaneum",1
"Anthonomus grandis",1
"Photinus pyralis",1
"Ctenocephalides felis",1
"Timema monikensis",3
"Timema genevievae",2
"Timema tahoe",3
"Timema poppense",2
"Timema cristinae",1
"Timema californicum",2
"Bacillus rossius",1
"Schistocerca serialis",2
"Schistocerca gregaria",1
"Gryllus bimaculatus",1
"Acyrthosiphon pisum",1
"Metopolophium dirhodum",1
"Pediculus humanus",1
"Notodromas monacha",3
"Darwinula stevensoni",1
"Pollicipes pollicipes",1
"Amphibalanus amphitrite",1
"Macrobrachium nipponense",1
"Daphnia pulex",1
"Rhipicephalus sanguineus",2
"Dermacentor albipictus",1
"Ixodes scapularis",1
"Medioppia subpectinata",2
"Oppiella nova",1
"Dicrocoelium dendriticum",67
"Schistosoma haematobium",1
"Schistosoma japonicum",1
"Schistosoma mansoni",1
"Spirometra erinaceieuropaei",5
"Aldisa cooperi",1
"Physella acuta",1
"Aplysia californica",1
"Pecten maximus",1
"Ostrea edulis",1
"Homo sapiens",23
"Pongo abelii",1
"Theropithecus gelada",2
"Callithrix jacchus",2
"Mus musculus",9
"Arvicanthis niloticus",1
"Peromyscus maniculatus",1
"Nannospalax galili",1
"Oryctolagus cuniculus",1
"Equus caballus",7
"Diceros bicornis",1
"Vicugna pacos",2
"Ovis aries",1
"Phoca vitulina",1
"Mustela erminea",1
"Myotis myotis",1
"Miniopterus natalensis",1
"Sorex araneus",1
"Suncus etruscus",1
"Echinops telfairi",1
"Gracilinanus agilis",1
"Monodelphis domestica",1
"Chamaea fasciata",1
"Hirundo rustica",1
"Corvus brachyrhynchos",2
"Serinus canaria",1
"Neopsephotus bourkii",1
"Melanerpes formicivorus",2
"Harpia harpyja",1
"Tyto alba",1
"Meleagris gallopavo",4
"Apteryx mantelli",4
"Terrapene triunguis",2
"Emydura macquarii",1
"Brookesia therezieni",1
"Anolis maynardi",1
"Crotalus tigris",1
"Rhineura floridana",1
"Eublepharis macularius",1
"Euleptes europaea",1
"Gekko japonicus",1
"Xenopus laevis",2
"Xenopus tropicalis",1
"Ranitomeya imitator",1
"Spea bombifrons",1
"Oryzias latipes",4
"Oryzias melastigma",1
"Cyprinodon variegatus",1
"Austrofundulus limnaeus",1
"Salarias fasciatus",1
"Gouania willdenowi",1
"Neolamprologus brichardi",1
"Archocentrus centrarchus",1
"Stegastes partitus",1
"Pungitius pungitius",2
"Clinocottus analis",1
"Plectropomus leopardus",1
"Centropristis striata",1
"Perca flavescens",2
"Pseudochaenichthys georgianus",1
"Semicossyphus pulcher",1
"Syngnathus acus",2
"Syngnathoides biaculeatus",1
"Melanogrammus aeglefinus",1
"Danio rerio",7
"Carassius gibelio",2
"Cyprinus carpio",1
"Myxocyprinus asiaticus",1
"Hoplias malabaricus",1
"Silurus meridionalis",1
"Megalops cyprinoides",1
"Pristis pectinata",1
"Myxine glutinosa",1
"Branchiostoma belcheri",1
"Luidia clathrata",1
"Strongylocentrotus purpuratus",1
"Actinia tenebrosa",1
"Pocillopora verrucosa",1
"Hydractinia symbiolongicarpus",1
"Glycine max",2
"Cajanus cajan",1
"Lotus japonicus",2
"Rosa agrestis",4
"Cannabis sativa",1
"Passiflora edulis",1
"Malpighia emarginata",1
"Juglans microcarpa x Juglans regia",1
"Cucumis melo",1
"Arabidopsis lyrata",1
"Arabidopsis thaliana",1
"Tarenaya hassleriana",1
"Punica granatum",1
"Durio zibethinus",1
"Vitis vinifera",1
"Nicotiana attenuata",3
"Solanum pennellii",1
"Ipomoea triloba",2
"Sesamum indicum",1
"Salvia miltiorrhiza",1
"Coffea eugenioides",1
"Camellia sinensis",1
"Diospyros lotus",1
"Cornus florida",1
"Matricaria chamomilla",1
"Acanthophyllum pungens",2
"Chenopodium quinoa",1
"Triticum monococcum",3
"Brachypodium distachyon",2
"Lolium perenne",2
"Oryza sativa",4
"Urochloa mosambicensis",2
"Digitaria exilis",2
"Panicum virgatum",1
"Sorghum bicolor",1
"Miscanthus floridulus",1
"Eragrostis tef",2
"Ananas comosus",4
"Musa acuminata",1
"Magnolia sinica",1
"Cephaleuros virescens",1
"Hydrocytium acuminatum",1
"Cryptosporidium ryanae",1
"Cystoisospora suis",1
"Theileria annulata",1
"Paramecium tetraurelia",1
"Aphanomyces euteiches",1
"Aphanomyces astaci",1
"Thalassiosira pseudonana",1
"uncultured eukaryote",6
"Trypanosoma brucei",1
"Cavenderia fasciculata",1
"Natrialba magadii",1
"Natrinema salinisoli",1
"Natronosalvus vescus",1
"Halosimplex aquaticum",1
"Salinibaculum sp. SYNS191",1
"Halocatena marina",1
"Halorussus aquaticus",1
"Methanoculleus palmolei",1
"Methanospirillum stamsii",1
"Methanocaldococcus bathoardescens",1
"Retroviral expression vector L149",5
"Saccharomyces cerevisiae synthetic construct",4
"synthetic construct",16
"Caudoviricetes sp.",8
"Listeria phage PSU-VKH-LP040",7
"Caulobacter phage Ccr29",1
"Macdonaldcampvirus SB28",1
"Prokaryotic dsDNA virus sp.",1
"Rheavirus sinusmexicani",1
"Novirhabdovirus salmonid",1
"uncultured prokaryote",2
"uncultured organism",7
"Bacillus spizizenii",31532
"Bacillus subtilis",8019
"Bacillus vallismortis",105
"Bacillus inaquosorum",95
"Bacillus amyloliquefaciens",37
"Bacillus velezensis",36
"Bacillus halotolerans",48
"Bacillus mojavensis",16
"Bacillus stercoris",91
"Bacillus atrophaeus",32
"Bacillus tequilensis",33
"Bacillus paralicheniformis",1
"Bacillus licheniformis",9
"Bacillus anthracis",226
"Bacillus wiedmannii",1
"Bacillus paranthracis",6
"Bacillus thuringiensis",2
"Bacillus mycoides",1
"Bacillus sp. FSL R5-0523",7
"Bacillus sp. MBGLi79",9
"Bacillus sp. JS",11
"Bacillus sp. 1NLA3E",2
"Bacillus sp. YBsi01",3
"Bacillus sp. wens01",5
"Bacillus sp. FSL K6-1003",2
"Bacillus sp. PAMC26568",1
"Bacillus sp. SG20032",26
"Bacillus sp. SG20033",6
"Bacillus sp. PAMC26543",3
"Bacillus sp. N1-1",1
"Bacillus sp. LJBS06",3
"Bacillus sp. DX3.1",1
"Bacillus sp. FJAT-18017",1
"Bacillus sp. FSL M8-0071",7
"Bacillus sp. FSL R5-0560",2
"Bacillus sp. T3",1
"Bacillus rugosus",48
"Bacillus cabrialesii",32
"uncultured Bacillus sp.",9
"Bacillus altitudinis",8
"Bacillus swezeyi",2
"Bacillus pumilus",2
"Bacillus gobiensis",1
"Bacillus weihaiensis",1
"Bacillus safensis",2
"Bacillus infantis",1
"Priestia megaterium",2
"Priestia sp. HNGD-A6",1
"Priestia flexa",1
"Peribacillus simplex",2
"Rossellomorea sp. FM04394",2
"Oceanobacillus sp. FSL K6-3682",2
"Halalkalibacterium halodurans",1
"Alkalihalophilus pseudofirmus",1
"Shouchella clausii",1
